harb,-25.887,27.707,1558.489,-0.01,0.0355,0.0276,0.1255,4320,-0.0137,0.0337,0.0259,0.1092,3900,-0.0122,0.0377,0.0298,0.1089,4044,-0.0199,0.0374,0.0295,0.1096,4320,-0.014,0.0361,0.0282,0.1255,16584
hers,50.867,0.336,76.927,-0.01,0.0389,0.031,0.1403,4344,-0.0147,0.0431,0.0341,0.151,4308,-0.0141,0.0388,0.031,0.1609,4332,-0.0178,0.0402,0.0323,0.1214,4272,-0.0141,0.0403,0.0321,0.1609,17256
hert,50.867,0.334,83.77,-0.007,0.038,0.0306,0.1382,4272,-0.012,0.0424,0.0336,0.147,4284,-0.0115,0.038,0.0304,0.1579,4332,-0.0169,0.0406,0.0327,0.1174,3684,-0.0117,0.0398,0.0318,0.1579,16572
hksl,22.372,113.928,95.712,-0.0184,0.0523,0.043,0.1795,4344,-0.0199,0.0508,0.0405,0.1707,4380,-0.0177,0.0512,0.0404,0.1952,4224,-0.0215,0.0611,0.0494,0.2183,4272,-0.0194,0.054,0.0433,0.2183,17220
hkws,22.434,114.335,64.197,-0.019,0.0531,0.0438,0.1791,4368,-0.0207,0.0511,0.0406,0.1752,4380,-0.0181,0.0515,0.0406,0.1972,4212,-0.0219,0.0612,0.0494,0.2199,4260,-0.0199,0.0544,0.0436,0.2199,17220
hlfx,44.684,-63.611,3.546,0.0066,0.0502,0.0401,0.1797,4320,-0.0028,0.0538,0.0428,0.1868,4356,-0.0027,0.0519,0.0415,0.1724,4284,-0.0033,0.0513,0.0404,0.2059,4260,-0.0005,0.0518,0.0412,0.2059,17220
hob2,-42.805,147.439,41.459,0.0054,0.0351,0.0274,0.1545,4356,-0.0011,0.035,0.0265,0.2034,4368,0.0023,0.0328,0.0253,0.1279,3732,-0.0072,0.0383,0.029,0.1566,4068,-0.0001,0.0354,0.0271,0.2034,16524
hofn,64.267,-15.198,82.741,-0.0186,0.041,0.0318,0.1529,4296,-0.0051,0.0402,0.0318,0.1288,4368,-0.0206,0.0433,0.0337,0.1601,4248,-0.0117,0.0386,0.0307,0.1338,3780,-0.014,0.0409,0.032,0.1601,16692
holb,50.64,-128.135,560.021,0.0155,0.0375,0.0311,0.1123,4368,0.0003,0.0366,0.0285,0.146,3876,0.0039,0.0361,0.0287,0.1195,4308,0.0004,0.0364,0.0288,0.1339,4368,0.0052,0.0367,0.0293,0.146,16920
hueg,47.834,7.596,278.745,-0.0123,0.0341,0.0272,0.1277,4188,-0.0162,0.0388,0.0304,0.1491,4320,-0.0116,0.0333,0.0262,0.1238,4320,-0.0177,0.0392,0.0316,0.1246,4332,-0.0145,0.0365,0.0289,0.1491,17160
ieng,45.015,7.639,317.049,-0.0034,0.0381,0.0303,0.1198,4056,-0.016,0.0394,0.0314,0.1296,4296,-0.0106,0.0386,0.0314,0.1202,4320,-0.0191,0.0432,0.0345,0.1269,4308,-0.0124,0.0399,0.0319,0.1296,16980
iisc,13.021,77.57,844.117,0.0084,0.0412,0.0329,0.1326,4092,0.0037,0.043,0.0333,0.1686,4188,-0.0063,0.0473,0.0379,0.1821,4296,0.0026,0.0433,0.0334,0.166,4092,0.002,0.0438,0.0344,0.1821,16668
invk,68.306,-133.527,46.813,-0.0024,0.0252,0.0198,0.1042,4164,0.0017,0.0238,0.0191,0.0801,4380,0.0021,0.0253,0.0198,0.1093,4308,-0.0061,0.0253,0.0198,0.0839,4368,-0.0012,0.0249,0.0196,0.1093,17220
iqal,63.756,-68.51,92.142,0.0027,0.0261,0.0211,0.0937,4344,0.0104,0.0298,0.0235,0.1084,4380,0.0026,0.0304,0.0241,0.117,4296,0.0084,0.0309,0.0245,0.1413,4356,0.006,0.0294,0.0233,0.1413,17376
jctw,-33.951,18.469,84.013,-0.0113,0.0377,0.029,0.1392,4200,-0.0081,0.0363,0.028,0.1548,4236,-0.0096,0.036,0.0281,0.1475,4092,-0.0099,0.0387,0.0291,0.19,4128,-0.0097,0.0372,0.0285,0.19,16656
jfng,30.516,114.491,71.739,-0.0059,0.0602,0.0481,0.1855,4308,-0.0185,0.0648,0.053,0.1982,4332,-0.016,0.0662,0.0543,0.1835,4176,-0.0091,0.0612,0.0496,0.1629,3900,-0.0124,0.0632,0.0513,0.1982,16716
joz2,52.098,21.032,152.696,-0.0099,0.0363,0.029,0.1458,4260,-0.0143,0.0369,0.029,0.153,4224,-0.0054,0.0333,0.0256,0.1428,4080,-0.0107,0.0355,0.0277,0.1248,3996,-0.0101,0.0355,0.0278,0.153,16560
joze,52.097,21.032,141.834,-0.0239,0.0428,0.0336,0.1722,4320,-0.0175,0.0378,0.0299,0.1584,4056,-0.0087,0.0343,0.0262,0.1438,3912,-0.0117,0.0361,0.0282,0.1251,3840,-0.0157,0.038,0.0296,0.1722,16128
jplm,34.205,-118.173,424.456,-0.004,0.0365,0.0285,0.1365,4344,0.0016,0.0332,0.0265,0.129,4332,-0.0058,0.0366,0.0282,0.1718,4332,-0.0112,0.0426,0.0317,0.1949,4368,-0.0049,0.0374,0.0287,0.1949,17376
kat1,-14.376,132.153,184.694,-0.0139,0.0546,0.0418,0.2154,3984,-0.0339,0.0656,0.0522,0.2156,4320,-0.0376,0.0707,0.0586,0.2263,3972,-0.0377,0.075,0.0593,0.2379,4032,-0.0309,0.0669,0.053,0.2379,16308
kerg,-49.351,70.256,73.049,-0.011,0.0445,0.0351,0.1585,4368,-0.0113,0.0451,0.0352,0.1641,4320,-0.0153,0.0447,0.0349,0.1614,4260,-0.0187,0.0464,0.036,0.2003,4296,-0.0141,0.0452,0.0353,0.2003,17244
kir0,67.878,21.06,498.413,-0.0014,0.0322,0.0258,0.1247,4308,-0.0001,0.0345,0.028,0.1073,4380,-0.006,0.0307,0.0246,0.1112,4320,-0.0066,0.0344,0.0267,0.1309,4368,-0.0035,0.033,0.0263,0.1309,17376
